"","date","airT","HR","sunshine","ws","wd","precip"
"179318",2022-08-01 00:00:00,20.8,63,0,4.8,300,0
"179319",2022-08-01 01:00:00,20,75,0,2.8,320,0
"179320",2022-08-01 02:00:00,19.3,80,0,2.9,260,0
"179321",2022-08-01 03:00:00,18.7,86,0,2.4,260,0
"179322",2022-08-01 04:00:00,18.7,90,0,3,270,0
"179323",2022-08-01 05:00:00,19,90,0,3.8,290,0
"179324",2022-08-01 06:00:00,19.4,90,0,5.2,280,0
"179325",2022-08-01 07:00:00,19.3,95,0,3.3,290,0
"179326",2022-08-01 08:00:00,20.2,85,7,3.7,310,0
"179327",2022-08-01 09:00:00,21.1,73,9,4.4,300,0
"179328",2022-08-01 10:00:00,21.5,70,0,4.3,290,0
"179329",2022-08-01 11:00:00,21.4,70,0,3.9,300,0
"179330",2022-08-01 12:00:00,21,73,0,4.1,300,0
"179331",2022-08-01 13:00:00,22.8,66,1,2.9,310,0
"179332",2022-08-01 14:00:00,23.8,59,10,5.1,310,0
"179333",2022-08-01 15:00:00,24.2,55,41,4.7,290,0
"179334",2022-08-01 16:00:00,23.4,60,23,3.3,330,0
"179335",2022-08-01 17:00:00,23.2,60,36,3.4,320,0
"179336",2022-08-01 18:00:00,22.8,58,9,3.4,300,0
"179337",2022-08-01 19:00:00,22,59,25,3,310,0
"179338",2022-08-01 20:00:00,21.2,62,0,2.8,300,0
"179339",2022-08-01 21:00:00,20.8,63,0,2.8,10,0
"179340",2022-08-01 22:00:00,18.7,70,0,1.7,40,0
"179341",2022-08-01 23:00:00,18.7,74,0,2.3,330,0
"179342",2022-08-02 00:00:00,18.1,78,0,2.3,300,0
"179343",2022-08-02 01:00:00,17.9,73,0,1.6,300,0
"179344",2022-08-02 02:00:00,17.6,71,0,1.8,290,0
"179345",2022-08-02 03:00:00,17.3,73,0,2.1,310,0
"179346",2022-08-02 04:00:00,16.6,79,0,2,310,0
"179347",2022-08-02 05:00:00,16.7,79,7,1.8,310,0
"179348",2022-08-02 06:00:00,17.4,75,31,1.2,300,0
"179349",2022-08-02 07:00:00,19.2,56,60,0.9,210,0
"179350",2022-08-02 08:00:00,20.9,48,60,1.3,290,0
"179351",2022-08-02 09:00:00,22,45,60,2.4,240,0
"179352",2022-08-02 10:00:00,22.9,43,60,2,280,0
"179353",2022-08-02 11:00:00,24,40,51,3.8,300,0
"179354",2022-08-02 12:00:00,25.3,37,60,2.8,240,0
"179355",2022-08-02 13:00:00,26.1,36,59,1.3,310,0
"179356",2022-08-02 14:00:00,26.3,34,60,1.5,250,0
"179357",2022-08-02 15:00:00,27.3,33,60,1.3,300,0
"179358",2022-08-02 16:00:00,26.4,34,60,2.3,260,0
"179359",2022-08-02 17:00:00,26.4,34,32,2.3,290,0
"179360",2022-08-02 18:00:00,25,39,1,2,310,0
"179361",2022-08-02 19:00:00,22.4,48,3,1,20,0
"179362",2022-08-02 20:00:00,20.2,57,0,2,110,0
"179363",2022-08-02 21:00:00,18.9,63,0,2.3,100,0
"179364",2022-08-02 22:00:00,17.7,70,0,3.1,120,0
"179365",2022-08-02 23:00:00,17,75,0,3,150,0
"179366",2022-08-03 00:00:00,16.8,78,0,3.4,160,0
"179367",2022-08-03 01:00:00,16.8,75,0,2.9,160,0
"179368",2022-08-03 02:00:00,17,76,0,2.9,160,0
"179369",2022-08-03 03:00:00,17.7,72,0,2.3,180,0
"179370",2022-08-03 04:00:00,17,75,0,2.5,190,0
"179371",2022-08-03 05:00:00,17.4,76,39,2.5,190,0
"179372",2022-08-03 06:00:00,20.8,59,60,1.9,200,0
"179373",2022-08-03 07:00:00,24,46,60,2.2,200,0
"179374",2022-08-03 08:00:00,27.2,39,60,3.1,190,0
"179375",2022-08-03 09:00:00,28.9,30,60,2.1,210,0
"179376",2022-08-03 10:00:00,29.9,28,60,2,200,0
"179377",2022-08-03 11:00:00,30.9,27,60,2.3,220,0
"179378",2022-08-03 12:00:00,31.6,27,60,2.2,240,0
"179379",2022-08-03 13:00:00,32.3,27,60,1.1,160,0
"179380",2022-08-03 14:00:00,32.7,27,60,1.9,250,0
"179381",2022-08-03 15:00:00,32.8,27,60,2.1,170,0
"179382",2022-08-03 16:00:00,32.8,27,60,2.3,220,0
"179383",2022-08-03 17:00:00,32.6,27,60,1,220,0
"179384",2022-08-03 18:00:00,29.9,31,49,1.2,200,0
"179385",2022-08-03 19:00:00,27,41,22,2.3,180,0
"179386",2022-08-03 20:00:00,24.2,48,0,2,190,0
"179387",2022-08-03 21:00:00,22.5,58,0,1.7,200,0
"179388",2022-08-03 22:00:00,21.2,66,0,1,140,0
"179389",2022-08-03 23:00:00,20.3,71,0,2.2,120,0
"179390",2022-08-04 00:00:00,19.7,71,0,2.8,120,0
"179391",2022-08-04 01:00:00,19.5,75,0,1.5,120,0
"179392",2022-08-04 02:00:00,19.2,78,0,2.5,120,0
"179393",2022-08-04 03:00:00,18.3,82,0,2,110,0
"179394",2022-08-04 04:00:00,17.7,85,0,2,110,0
"179395",2022-08-04 05:00:00,19.2,82,49,2.9,140,0
"179396",2022-08-04 06:00:00,21.4,69,60,1.7,150,0
"179397",2022-08-04 07:00:00,25.3,46,60,1.7,170,0
"179398",2022-08-04 08:00:00,28.4,39,60,1,140,0
"179399",2022-08-04 09:00:00,31.3,34,60,1.9,140,0
"179400",2022-08-04 10:00:00,33.1,30,60,2.4,130,0
"179401",2022-08-04 11:00:00,34.4,28,60,1.3,130,0
"179402",2022-08-04 12:00:00,35,26,60,3.8,190,0
"179403",2022-08-04 13:00:00,35.8,24,60,4,190,0
"179404",2022-08-04 14:00:00,36.4,23,60,3.9,210,0
"179405",2022-08-04 15:00:00,35.5,23,60,4.5,210,0
"179406",2022-08-04 16:00:00,35.7,23,59,3.8,210,0
"179407",2022-08-04 17:00:00,35.4,23,59,3.9,200,0
"179408",2022-08-04 18:00:00,32.5,28,60,3.2,180,0
"179409",2022-08-04 19:00:00,28.9,38,23,3.3,160,0
"179410",2022-08-04 20:00:00,26.1,47,0,4,160,0
"179411",2022-08-04 21:00:00,24.3,53,0,4,150,0
"179412",2022-08-04 22:00:00,25.2,48,0,3.2,190,0
"179413",2022-08-04 23:00:00,23.4,56,0,3.7,140,0
"179414",2022-08-05 00:00:00,23.2,55,0,1.5,250,0
"179415",2022-08-05 01:00:00,21.4,62,0,1.3,160,0
"179416",2022-08-05 02:00:00,22.1,65,0,3.6,330,0
"179417",2022-08-05 03:00:00,22.7,65,0,3.5,350,0
"179418",2022-08-05 04:00:00,22.9,66,0,4.1,30,0
"179419",2022-08-05 05:00:00,23.6,64,6,3.6,360,0
"179420",2022-08-05 06:00:00,24.2,63,22,3.6,330,0
"179421",2022-08-05 07:00:00,23.3,69,16,6,320,0
"179422",2022-08-05 08:00:00,23.3,69,16,5.3,330,0
"179423",2022-08-05 09:00:00,23.5,70,1,3.6,350,0
"179424",2022-08-05 10:00:00,23.4,69,0,2.8,350,0
"179425",2022-08-05 11:00:00,23.1,78,0,1.1,290,0.1
"179426",2022-08-05 12:00:00,25.6,63,29,1.6,260,0
"179427",2022-08-05 13:00:00,27.5,52,60,2.8,240,0
"179428",2022-08-05 14:00:00,27.1,54,45,5.5,290,0
"179429",2022-08-05 15:00:00,26.6,56,31,4.2,290,0
"179430",2022-08-05 16:00:00,24.3,67,0,5.9,320,0
"179431",2022-08-05 17:00:00,22.3,74,3,8.4,310,0
"179432",2022-08-05 18:00:00,19.4,77,5,7.3,320,0
"179433",2022-08-05 19:00:00,18.4,80,0,4.6,320,0
"179434",2022-08-05 20:00:00,17.8,71,0,4.9,320,0
"179435",2022-08-05 21:00:00,17.4,74,0,3.9,310,0
"179436",2022-08-05 22:00:00,16.8,80,0,3.9,300,0
"179437",2022-08-05 23:00:00,16.7,79,0,5,300,0
"179438",2022-08-06 00:00:00,15.8,75,0,5.6,300,0
"179439",2022-08-06 01:00:00,14.7,76,0,5.1,300,0
"179440",2022-08-06 02:00:00,14,79,0,4.3,310,0
"179441",2022-08-06 03:00:00,13.4,81,0,4.2,300,0
"179442",2022-08-06 04:00:00,12.9,84,0,4.2,300,0
"179443",2022-08-06 05:00:00,12.8,86,1,2.6,290,0
"179444",2022-08-06 06:00:00,12.8,87,26,2.5,300,0
"179445",2022-08-06 07:00:00,15,76,60,3.3,300,0
"179446",2022-08-06 08:00:00,16.5,69,60,4,300,0
"179447",2022-08-06 09:00:00,17.6,62,55,2.9,290,0
"179448",2022-08-06 10:00:00,19.1,51,42,3.4,330,0
"179449",2022-08-06 11:00:00,20.8,48,48,2.3,310,0
"179450",2022-08-06 12:00:00,21.3,43,40,2.3,290,0
"179451",2022-08-06 13:00:00,21.2,42,44,2.9,290,0
"179452",2022-08-06 14:00:00,22.1,39,50,3.2,340,0
"179453",2022-08-06 15:00:00,21.8,39,46,5,330,0
"179454",2022-08-06 16:00:00,21.1,40,34,3.7,320,0
"179455",2022-08-06 17:00:00,21.3,39,55,4.2,330,0
"179456",2022-08-06 18:00:00,20.5,39,60,3.1,340,0
"179457",2022-08-06 19:00:00,18.8,44,45,2.7,330,0
"179458",2022-08-06 20:00:00,15.4,57,0,1.9,340,0
"179459",2022-08-06 21:00:00,13.8,66,0,2.6,350,0
"179460",2022-08-06 22:00:00,12.9,73,0,2,360,0
"179461",2022-08-06 23:00:00,12.2,79,0,2.4,20,0
"179462",2022-08-07 00:00:00,11.6,83,0,2.3,20,0
"179463",2022-08-07 01:00:00,11.5,86,0,2.2,10,0
"179464",2022-08-07 02:00:00,10.7,90,0,2.1,30,0
"179465",2022-08-07 03:00:00,10.2,93,0,1.8,60,0
"179466",2022-08-07 04:00:00,9.8,95,0,2.2,50,0
"179467",2022-08-07 05:00:00,10.4,95,37,2,80,0
"179468",2022-08-07 06:00:00,14.1,74,60,1.7,100,0
"179469",2022-08-07 07:00:00,16.9,55,60,2,120,0
"179470",2022-08-07 08:00:00,19.7,44,60,2.4,150,0
