osm_id,ktCO2,ktC,mean_cars
1000285294,0,0.01,511.63
1000328788,0,0.05,460.44
1000841842,0,0.05,551.02
1000841843,0,0.02,503.71
100100954,0.01,0.19,503.53
100113767,0,0.05,468.41
1001793125,0,0.03,322.91
1001886268,0,0.1,364.42
1001891257,0,0.07,535.91
1001891261,0,0.1,487.42
1002147962,0,0.02,453.48
1002147963,0,0.07,463.72
1002147964,0,0.06,489.03
1002151924,0,0.05,482.64
1002151925,0,0.02,478.34
1002151926,0,0.02,478.61
1002238496,0,0.02,484.21
1002238497,0,0.01,464.16
1002238499,0,0.01,462.21
1002238504,0,0.02,472.28
1002238505,0,0.02,472.12
1002238506,0,0.03,463.67
1002238507,0,0.02,458.71
1002238517,0,0.01,475.92
1002240990,0,0.02,497.77
1002240991,0,0.03,500.44
1002247006,0,0.02,488.31
1002247007,0,0.02,488.5
1002247008,0,0.02,487.86
1002247009,0,0.02,491.71
1002249741,0,0.02,489.49
1002249742,0,0.02,486.43
1002249853,0,0.04,507.8
1002392336,0,0.01,412.22
1002397812,0,0.01,463.03
1002399056,0,0.02,459.66
1002431111,0,0.02,547.01
1002577389,0.01,0.15,603.64
1002577390,0,0.01,582.57
1002890679,0.01,0.19,514.48
1002890688,0,0.01,521.46
1002890690,0.01,0.2,548.22
1003191655,0,0.09,501.06
1003191656,0.02,0.48,549.27
1003191666,0,0.04,501.69
1003191667,0.02,0.53,549.39
100405009,0.01,0.15,543.87
10041007,0.01,0.3,445.74
1004875111,0.01,0.19,504.42
1004875112,0.01,0.25,502.16
1004914193,0,0.01,512.98
1004916655,0,0.03,483.43
1005049896,0,0.02,453.46
1005049897,0,0.02,453.46
1005049898,0,0.03,454.5
1005049899,0,0.01,453.99
1005049900,0,0.01,484.41
1005049901,0,0.02,484.47
1005049902,0,0.01,483.96
1005049903,0,0.02,484.46
1005049904,0,0.04,488.71
1005385030,0.01,0.15,603.51
100541440,0,0.05,407.38
1005416981,0,0.03,550.69
1005416984,0,0.11,556.92
1005684008,0.02,0.37,514.24
1005740298,0.01,0.16,538.71
1005740299,0,0.03,546.11
1006562531,0.01,0.22,551.96
1007139714,0,0.02,539.12
1007350314,0,0.07,461.44
1007350315,0,0.02,460.09
1007350317,0,0.01,459.48
1007366759,0,0.1,543.55
1008240350,0,0.02,488.23
1008240352,0,0.02,488.24
1008741313,0,0.08,342.1
1008965590,0,0.02,486.43
1008965591,0,0.02,485.77
1009125106,0,0.02,512.82
1009125107,0,0.02,486.36
1009125110,0,0.02,511.94
1009306053,0,0.04,454.61
1009306054,0,0.01,454.89
1009387135,0,0.02,488.73
1009639507,0.01,0.14,548.79
1009714187,0,0.06,505.16
1009799542,0.01,0.27,518.24
10098778,0.01,0.12,464.34
10098780,0,0.04,465.3
10098782,0,0.01,464.13
10098783,0,0.07,492.53
10098785,0.02,0.43,485.33
10099393,0,0.05,370.1
1010110055,0,0.03,533.66
1010110058,0,0.03,620.88
1010110067,0,0.04,527.89
1010328228,0.01,0.2,543.35
1010328229,0.02,0.36,533.66
1010818626,0,0.01,474.72
1011412279,0,0.07,479.62
1011492912,0,0.11,519.98
1011559441,0.01,0.17,551.03
1011559770,0,0.02,542.09
1011559771,0,0.04,538.17
1011560764,0,0.01,545.97
1011564760,0,0.08,490.07
1011564761,0,0.11,492.09
1011564762,0,0.02,478.22
1012454672,0,0.1,501.02
1012454673,0,0.05,470.04
1012454677,0,0.09,470.81
1012482688,0,0.08,212.82
1012482689,0,0.09,481.67
1012792688,0,0.06,532.52
1013117571,0.01,0.13,507.08
1013489628,0,0.06,537.81
1013489637,0,0.02,534.74
1013489665,0,0.03,565.72
1013489670,0,0.03,565.72
1013489690,0,0,524.8
1013501323,0,0.01,556.21
1013626048,0,0.06,490.3
1013626051,0,0.03,467.52
1014112247,0,0.01,488.35
1014130057,0,0.01,487.81
1014229941,0.01,0.14,491.1
1014284315,0,0.01,429.46
1014601419,0,0.01,556.68
1015444366,0,0.02,349.17
1015444369,0.01,0.16,352.05
1015444370,0.01,0.16,352.05
1015444371,0,0.02,348.88
1015606689,0,0.06,542.29
1016222589,0,0.03,485.12
1016635210,0,0.01,477.62
1016635211,0,0.04,472.61
1016635212,0,0.01,469.62
1016635213,0,0.03,525.78
1016847954,0.01,0.19,516.01
1016866178,0,0.02,481.52
1016866206,0,0.04,487.18
1016866208,0,0.01,482.13
1016866211,0,0.01,495.85
1016866218,0,0.02,495.87
1016866219,0,0.01,495.28
1016866227,0,0.03,498.92
1017359360,0,0.07,493.93
1017368408,0,0.02,549.88
1017378709,0,0.02,501.9
1017767538,0.01,0.22,482.87
1017969548,0,0.04,523.82
1017969549,0,0.02,521.53
1017969550,0,0.02,564.52
1018227983,0,0.04,485.37
1018533067,0,0.06,486.66
1018576606,0.01,0.18,469.7
1018576607,0,0.01,454.01
1018806180,0,0.06,551.72
1018820114,0,0.06,451.68
1018900664,0.01,0.21,504.11
1018900667,0,0.11,519.6
1018926819,0,0.02,487.74
1018942843,0,0.01,436.74
1018942845,0,0.05,459.06
1018942846,0,0.02,485.84
1019380753,0,0.03,467.24
10195357,0,0.02,485.58
1019706664,0.01,0.28,483.15
1019707873,0,0.09,489.69
1019710637,0,0.03,486.7
1019827714,0.01,0.14,536.43
1020077809,0,0.04,468.37
1020301400,0,0,486.81
1020303900,0,0.02,537.95
1020548406,0,0.05,478.92
1020812861,0,0.09,485.21
1020977670,0,0.05,484.14
1021196045,0,0.01,129.62
1021947367,0,0.02,496.41
1022323964,0,0.03,450.75
1022323965,0,0.02,446.65
1022323966,0,0.09,513.46
1022407912,0,0,442.2
1022434817,0,0.06,516.67
1022434818,0,0.1,513.26
1022434819,0,0.06,558.71
1022434820,0.01,0.2,565.94
1022434821,0.02,0.42,542.84
1022561437,0,0.01,491.71
1022561439,0,0.01,445.03
1022584608,0,0.07,491.1
1022636087,0.01,0.15,489.95
1023254680,0.03,0.68,516.69
1023341530,0,0.11,485.18
1023981165,0,0.06,496.56
1023981166,0,0.06,351.5
1023981167,0,0.04,465.26
1023981168,0,0.03,483.44
1023990738,0,0.05,492.12
1024021053,0,0.02,520.29
1024021054,0,0.01,519.87
1024114615,0,0.03,485.36
1024114622,0,0.1,458.16
1024114623,0,0.03,456.75
1024711339,0,0.03,517.8
1024711340,0,0.1,555.74
1024711341,0,0.05,540.27
1024711366,0,0.01,540.92
102486174,0.01,0.34,510.91
102486209,0,0.01,333.31
102486222,0,0.1,514.58
102486258,0.01,0.31,503.02
102532387,0.01,0.32,490.79
1025365101,0,0.02,462.98
102544401,0,0.09,464.53
1025817545,0,0.05,457.75
1025851953,0,0.02,493.72
1025851956,0,0.05,316.86
1026104685,0,0.02,481.49
1026104686,0,0.06,491.34
1026109258,0,0.06,528.43
102698235,0,0.01,539.18
1027327077,0,0,509.4
1027370644,0,0.01,482.88
10275148,0.01,0.21,461.24
10275151,0.01,0.14,498.72
10276231,0,0.09,512.35
102773668,0.01,0.12,474.21
102773708,0.01,0.17,466.25
102776399,0.01,0.13,435.74
102777382,0,0.01,451.83
1028352775,0,0.08,550.61
1028649445,0.01,0.22,589.87
1028649446,0,0.11,545.19
1028649508,0,0.06,511.04
1028922026,0,0.02,216.58
1029434234,0,0.06,475.65
102945288,0.02,0.52,478.8
102983787,0,0.04,486.31
102984483,0,0.1,489.82
1030395947,0,0.02,476.16
1030698965,0,0.02,481.85
1030929841,0.01,0.12,572.18
1031696076,0.02,0.35,553.63
1031838770,0,0.05,510.16
1031838771,0,0.05,506.62
1031838772,0,0.04,509.86
1031838773,0,0.02,507.48
1031838775,0,0.11,478.75
1032351178,0.01,0.19,509.09
1033383450,0,0.05,579.94
1033435784,0,0.02,528.67
1033468034,0,0.11,571
1033550889,0,0.1,478.2
1033550893,0.01,0.27,532.71
1033550896,0,0.11,485.6
1033550897,0,0.04,526.36
1033686284,0,0.03,546.45
1033759501,0,0.04,498.35
1033759502,0,0.06,502.17
1034409931,0,0.08,548.44
1034412734,0,0.04,555.36
103453524,0.01,0.27,406.96
1034560017,0,0.03,460.68
1034737383,0,0.06,526.89
1034738839,0,0.06,547.3
1035591406,0,0.05,523.27
1035895386,0,0.03,481.82
1035909461,0.01,0.24,483.96
1035909464,0,0.05,552.62
1035909468,0,0.02,562.28
1035909470,0,0.03,543.72
1035909479,0.01,0.35,502.63
1035909497,0,0.03,541.09
1035909499,0,0.01,522.01
1035933669,0.01,0.16,531.74
1035933683,0,0.04,363.7
1035933684,0,0.04,363.24
1035933688,0,0.07,375.3
10360306,0,0.01,458.12
1036050868,0,0.05,519.21
1036185119,0,0.07,496.98
1036210162,0.01,0.13,350.03
1036210164,0,0.11,404.27
1036246971,0,0.03,489.36
1036246976,0.01,0.24,478.33
1036246977,0,0.1,482.28
1036246980,0,0.05,479.43
1036246982,0,0.02,503.31
1036246986,0.01,0.15,518.52
1036246987,0,0.09,538.28
1036246991,0,0.01,505.94
1036290004,0,0.07,533.24
103633375,0,0.05,492.24
103633379,0.01,0.13,301.68
1036342257,0,0.06,531.27
1036450413,0,0.03,552.78
1036450414,0,0.05,605.24
1036709237,0,0.08,497.47
1036709242,0,0.04,498.41
1036709243,0,0.06,540.49
