tCO2,day,osm_id,district
283.89,1,16334,Reinickendorf
258.58,1,16343,Spandau
312.89,1,16347,Mitte
334.03000000000003,1,55734,Steglitz-Zehlendorf
409.51,1,55754,Treptow-Köpenick
165.02,1,55764,Friedrichshain-Kreuzberg
278,1,158437,Tempelhof-Schöneberg
203.09,1,162902,Neukölln
260.71,1,164712,Marzahn-Hellersdorf
389.75,1,164723,Pankow
396.31,1,404538,Charlottenburg-Wilmersdorf
198.43,1,404554,Lichtenberg
286.36,2,16334,Reinickendorf
259.39,2,16343,Spandau
317.33,2,16347,Mitte
335.93,2,55734,Steglitz-Zehlendorf
413.7,2,55754,Treptow-Köpenick
169.85,2,55764,Friedrichshain-Kreuzberg
285.41,2,158437,Tempelhof-Schöneberg
206.43,2,162902,Neukölln
264.39,2,164712,Marzahn-Hellersdorf
395.29,2,164723,Pankow
400.31,2,404538,Charlottenburg-Wilmersdorf
200.89000000000001,2,404554,Lichtenberg
227.58,3,16334,Reinickendorf
207.35,3,16343,Spandau
252.42000000000002,3,16347,Mitte
267.08,3,55734,Steglitz-Zehlendorf
327.46,3,55754,Treptow-Köpenick
134.6,3,55764,Friedrichshain-Kreuzberg
225.65,3,158437,Tempelhof-Schöneberg
163.97,3,162902,Neukölln
208.6,3,164712,Marzahn-Hellersdorf
312.08,3,164723,Pankow
318.02,3,404538,Charlottenburg-Wilmersdorf
159.23,3,404554,Lichtenberg
221.34,4,16334,Reinickendorf
201.85,4,16343,Spandau
243.83,4,16347,Mitte
260.58,4,55734,Steglitz-Zehlendorf
319.1,4,55754,Treptow-Köpenick
129.74,4,55764,Friedrichshain-Kreuzberg
218.71,4,158437,Tempelhof-Schöneberg
158.69,4,162902,Neukölln
202.29,4,164712,Marzahn-Hellersdorf
301.38,4,164723,Pankow
310.2,4,404538,Charlottenburg-Wilmersdorf
154.84,4,404554,Lichtenberg
266.5,5,16334,Reinickendorf
240.24,5,16343,Spandau
295.12,5,16347,Mitte
314.11,5,55734,Steglitz-Zehlendorf
383.91,5,55754,Treptow-Köpenick
157.08,5,55764,Friedrichshain-Kreuzberg
263.72,5,158437,Tempelhof-Schöneberg
191.68,5,162902,Neukölln
245.79,5,164712,Marzahn-Hellersdorf
367.22,5,164723,Pankow
372.56,5,404538,Charlottenburg-Wilmersdorf
186.36,5,404554,Lichtenberg
280.52,6,16334,Reinickendorf
251.28,6,16343,Spandau
312.83,6,16347,Mitte
332.58,6,55734,Steglitz-Zehlendorf
404.26,6,55754,Treptow-Köpenick
167.75,6,55764,Friedrichshain-Kreuzberg
279.87,6,158437,Tempelhof-Schöneberg
202.26,6,162902,Neukölln
261.25,6,164712,Marzahn-Hellersdorf
388.91,6,164723,Pankow
393.26,6,404538,Charlottenburg-Wilmersdorf
197.73,6,404554,Lichtenberg
292.31,7,16334,Reinickendorf
262.6,7,16343,Spandau
325.94,7,16347,Mitte
344.38,7,55734,Steglitz-Zehlendorf
420.43,7,55754,Treptow-Köpenick
174.9,7,55764,Friedrichshain-Kreuzberg
292.39,7,158437,Tempelhof-Schöneberg
211.35,7,162902,Neukölln
270.66,7,164712,Marzahn-Hellersdorf
403.13,7,164723,Pankow
410.91,7,404538,Charlottenburg-Wilmersdorf
205.63,7,404554,Lichtenberg
283.3,8,16334,Reinickendorf
254.34,8,16343,Spandau
313.5,8,16347,Mitte
333.88,8,55734,Steglitz-Zehlendorf
407.2,8,55754,Treptow-Köpenick
168.28,8,55764,Friedrichshain-Kreuzberg
282.83,8,158437,Tempelhof-Schöneberg
204.54,8,162902,Neukölln
260.88,8,164712,Marzahn-Hellersdorf
390.26,8,164723,Pankow
395.26,8,404538,Charlottenburg-Wilmersdorf
198.78,8,404554,Lichtenberg
281.18,9,16334,Reinickendorf
253.62,9,16343,Spandau
311.78000000000003,9,16347,Mitte
331.52,9,55734,Steglitz-Zehlendorf
404.83,9,55754,Treptow-Köpenick
167.44,9,55764,Friedrichshain-Kreuzberg
280.56,9,158437,Tempelhof-Schöneberg
202.57,9,162902,Neukölln
260.19,9,164712,Marzahn-Hellersdorf
387.44,9,164723,Pankow
392.71,9,404538,Charlottenburg-Wilmersdorf
197.34,9,404554,Lichtenberg
248.52,10,16334,Reinickendorf
225.94,10,16343,Spandau
274.66,10,16347,Mitte
288.77,10,55734,Steglitz-Zehlendorf
357.75,10,55754,Treptow-Köpenick
145.48,10,55764,Friedrichshain-Kreuzberg
243.51,10,158437,Tempelhof-Schöneberg
177.87,10,162902,Neukölln
