name,tCO2
Landsberger Allee,958
Adlergestell,921.09
Berliner Straße,817.55
Hauptstraße,685.6
Potsdamer Chaussee,652.9
Märkische Allee,641.82
Heerstraße,580.06
AVUS,540.78
Havelchaussee,540.66
Sonnenallee,470
Köpenicker Straße,462.98
Blumberger Damm,454.92
Nördlicher Berliner Ring,437.49
Clayallee,437.05
Allee der Kosmonauten,429.81
Frankfurter Allee,416.52
Königstraße,398.57
Hohenzollerndamm,391.8
An der Wuhlheide,385.31
Mariendorfer Damm,378.77
Fürstenwalder Damm,374.55
Rhinstraße,367.56
Saatwinkler Damm,363.88
Brunsbütteler Damm,355.19
Johannisthaler Chaussee,350.75
Kurfürstendamm,346.91
Spandauer Damm,346.83
Bernauer Straße,333.79
Müllerstraße,327.94
Oranienburger Straße,326.37
Bundesallee,326.11
Alt-Friedrichsfelde,316.33
Tunnel Tiergarten Spreebogen,314.26
Straße des 17. Juni,312.37
Seestraße,305.66
Falkenseer Chaussee,303.99
Argentinische Allee,303.47
Schönwalder Allee,300.99
Tempelhofer Damm,300.66
Müggelheimer Damm,296.21
Wilhelmstraße,289.91
Hellersdorfer Straße,287.52
Kurt-Schumacher-Damm,279.37
Lichtenrader Damm,278.62
Schönhauser Allee,274.58
Danziger Straße,272.76
Prenzlauer Allee,272.36
Am Seegraben,272.28
Buckower Damm,270.3
Treskowallee,270.3
Fritz-Erler-Allee,269.99
Bahnhofstraße,267.03
Blankenfelder Chaussee,266.34
Mühlenstraße,260.2
Greifswalder Straße,254.5
Schloßstraße,254.32
Daumstraße,253.62
Kantstraße,253.58
Nonnendammallee,251.31
Bismarckstraße,249.55
Potsdamer Straße,248.58
Groß-Berliner Damm,248.23
Hermsdorfer Damm,247.52
Hansastraße,242.61
Heiligenseestraße,241.15
Waidmannsluster Damm,238.67
Rudower Straße,237.91
Prenzlauer Promenade,233.46
Köpenicker Landstraße,233.37
Kiefholzstraße,229.95
Alt-Biesdorf,229.12
Zossener Straße,228.87
Karl-Marx-Allee,226.18
Storkower Straße,224.86
Müggelseedamm,222.97
Falkenberger Chaussee,222.41
Berliner Allee,222.05
Schönerlinder Straße,214.46
Alt-Moabit,208.79
Kladower Damm,208.62
Gatower Straße,204.6
Karl-Marx-Straße,204.35
Fürstenwalder Allee,204.08
Hindenburgdamm,202.94
Rixdorfer Straße,201.51
Hildburghauser Straße,198.49
Scharnweberstraße,197.87
Brunnenstraße,197.7
Reichsstraße,196.31
Ostpreußendamm,194.42
Schnellerstraße,192.87
Charlottenburger Chaussee,192.05
Spindlersfelder Straße,190.46
Skalitzer Straße,187.67
Am Juliusturm,186.92
Sterndamm,186.09
Hobrechtsfelder Chaussee,185.65
Reinickendorfer Straße,185.56
Kastanienallee,183.25
Kronprinzessinnenweg,183.08
Koenigsallee,182.45
Mahlsdorfer Straße,182.06
Thielallee,181.77
Residenzstraße,180.36
Marienfelder Allee,180.03
Urbanstraße,179.24
Marienfelder Chaussee,178.41
Neuköllner Straße,177.44
Onkel-Tom-Straße,177.05
Breite Straße,176.4
Kniprodestraße,175.64
Unter den Eichen,175.43
Hermannstraße,175.21
Waltersdorfer Chaussee,174.97
Grunewaldstraße,174.79
Am Nordgraben,174.54
Gradestraße,174.1
Wernsdorfer Straße,173.92
Martin-Luther-Straße,173.46
Südwestkorso,172.86
Wilhelmsruher Damm,172.64
Lietzenburger Straße,171.17
Mecklenburgische Straße,170.8
Lindenstraße,169.71
Alt-Mahlsdorf,169.55
Osloer Straße,168.05
Oberspreestraße,167.87
Malteserstraße,167.38
Schönhauser Straße,166.55
Lindauer Allee,166.18
Stubenrauchstraße,166.07
Riesaer Straße,165.85
Ruppiner Chaussee,165.79
Hüttenweg,165.34
Invalidenstraße,164.94
Am Tierpark,164.52
Hultschiner Damm,161.81
Grenzallee,160.87
Cecilienstraße,159.88
Steglitzer Damm,158.94
Teltower Damm,158.39
Buschkrugallee,158.07
Otto-Suhr-Allee,157.92
Brandenburgische Straße,156.64
Goerzallee,154.86
Gosener Landstraße,153.63
Hönower Straße,153.52
Rudower Chaussee,152.77
Südostallee,152.34
Ritterfelddamm,152.31
Podbielskiallee,151.25
Rosenthaler Weg,150.78
Holzhauser Straße,150.2
Wegedornstraße,149.93
Dahlemer Weg,148.58
Osdorfer Straße,148.55
Buchholzer Straße,147.76
Seegefelder Weg,146.45
Dietzgenstraße,145.84
Afrikanische Straße,145.8
Bucher Straße,145.41
Lipschitzallee,145.24
Bornholmer Straße,145
Hohenschönhauser Straße,144.99
Schöneicher Landstraße,143.27
Wartenberger Straße,143.2
Kaiserdamm,142.86
Neumannstraße,142.67
Aroser Allee,142
Sachsendamm,141.42
Niederneuendorfer Allee,140.86
Attilastraße,140.84
Heckerdamm,140.82
Columbiadamm,140.54
Boelckestraße,139.53
Kaiser-Wilhelm-Straße,139.45
Möllendorffstraße,138.8
Tempelhofer Weg,138.78
Siemensdamm,138.66
Torstraße,138.03
Dahlwitzer Landstraße,137.63
Königsheideweg,137.6
Mehringdamm,137.12
Bitterfelder Straße,136.76
Mehrower Allee,136.68
Dorfstraße,136.16
Raoul-Wallenberg-Straße,135.62
Ollenhauerstraße,135.22
Zeppelinstraße,134.59
Ruhlebener Straße,134.48
Kaulsdorfer Straße,133.93
Buschallee,133.48
Alexanderstraße,133.32
Oranienburger Chaussee,133
Friedrichstraße,132.48
Chausseestraße,131.86
